4471-0882211-03DEPOSIT                  920.00
4471-0882211-01CHECK 1042              -118.45
4471-0882210-28DEPOSIT                1,040.00
4471-0910410-30CASH WITHDRAWAL       -1,881.74
4471-0910410-26TRANSFER                -771.13
4471-0910410-25INTEREST CREDIT        5,520.50
4471-0910410-23DEPOSIT                  391.04
4471-0910410-19INTEREST CREDIT        2,525.23
4471-0910410-16PAYROLL DEPOSIT        4,444.12
4471-0910410-13NSF FEE                  -29.06
4471-0910410-11SAVINGS TRANSFER        -226.93
4471-0910410-09CASH WITHDRAWAL       -1,631.20
4471-0910410-05CASH WITHDRAWAL       -1,825.27
4471-0910410-01NSF FEE                   -6.50
4471-0910409-27MONTHLY FEE               -4.53
4471-1173011-08CHECK 1009            -1,331.10
4471-1173011-05SERVICE CHARGE           -13.89
4471-1173011-01WIRE TRANSFER            357.30
4471-1173010-30SERVICE CHARGE           -26.34
4471-1173010-26DEPOSIT                  822.73
4471-1173010-22WIRE TRANSFER            165.49
4471-1173010-21MONTHLY FEE              -15.47
4471-1173010-17SAVINGS TRANSFER         -67.39
4471-1173010-16CASH WITHDRAWAL         -194.78
4471-1173010-12WIRE TRANSFER           -526.77
4471-1173010-09MONTHLY FEE              -31.97
4471-1173010-07SERVICE CHARGE           -30.87
4471-1173010-03PAYROLL DEPOSIT        2,953.71
4471-1173010-01CASH WITHDRAWAL         -338.22
4471-1173009-27MONTHLY FEE              -21.17
4471-1000011-01OVERDRAFT FEE            -20.23
4471-1000010-28CHECK 1015              -826.50
4471-1000010-27INTEREST CREDIT        2,334.67
4471-1000010-23NSF FEE                  -19.99
4471-1000010-22CHECK 1022              -692.27
4471-1000010-21CHECK 1025              -544.84
4471-1000010-17MONTHLY FEE              -23.41
4471-1000010-15PAYROLL DEPOSIT        8,397.21
4471-1000010-14INTEREST CREDIT        3,579.36
4471-1000010-13ATM WITHDRAWAL          -279.66
4471-1003711-04SERVICE CHARGE            -5.28
4471-1003710-31MONTHLY FEE              -34.52
4471-1003710-27ATM WITHDRAWAL        -2,151.06
4471-1003710-25WIRE TRANSFER         -2,757.68
4471-1003710-24PAYROLL DEPOSIT        1,995.69
4471-1003710-20TRANSFER                -600.68
4471-1003710-19WIRE TRANSFER          2,277.30
4471-1003710-16WIRE TRANSFER          1,591.00
4471-1003710-14CHECK 1034            -1,289.47
4471-1007411-06SAVINGS TRANSFER        -639.12
4471-1007411-02INTEREST CREDIT        6,456.93
4471-1007410-29SERVICE CHARGE           -24.28
4471-1007410-25TRANSFER              -1,256.64
4471-1007410-24INTEREST CREDIT        5,551.67
4471-1007410-21OVERDRAFT FEE            -21.98
4471-1007410-20INTEREST CREDIT          583.66
4471-1007410-18SERVICE CHARGE           -31.37
4471-1007410-17SERVICE CHARGE            -3.23
4471-1007410-16DEPOSIT                3,656.27
4471-1007410-15SAVINGS TRANSFER      -1,377.39
4471-1011110-30OVERDRAFT FEE            -29.01
4471-1011110-29OVERDRAFT FEE            -33.46
4471-1011110-26PAYROLL DEPOSIT        4,920.85
4471-1011110-23WIRE TRANSFER          4,374.60
4471-1011110-21PAYROLL DEPOSIT        5,658.25
4471-1011110-18WIRE TRANSFER           -111.11
4471-1011110-16SAVINGS TRANSFER        -709.79
4471-1011110-12PAYROLL DEPOSIT        4,568.27
4471-1011110-09DEPOSIT                2,249.49
4471-1011110-06OVERDRAFT FEE            -10.65
4471-1011110-02TRANSFER                 546.46
4471-1011110-01ATM WITHDRAWAL        -1,066.42
4471-1011109-29MONTHLY FEE              -26.77
4471-1011109-26WIRE TRANSFER         -2,491.88
4471-1014811-08TRANSFER               1,120.45
4471-1014811-06INTEREST CREDIT        1,952.62
4471-1014811-03ATM WITHDRAWAL          -271.18
4471-1014811-01SAVINGS TRANSFER       1,256.46
4471-1014810-30MONTHLY FEE              -10.87
4471-1014810-29DEPOSIT                8,615.36
4471-1014810-25NSF FEE                  -14.83
4471-1014810-21OVERDRAFT FEE            -12.94
4471-1018510-29WIRE TRANSFER          1,204.66
4471-1018510-27TRANSFER                -282.73
4471-1018510-26SERVICE CHARGE           -28.73
4471-1018510-25SERVICE CHARGE           -14.77
4471-1018510-22DEPOSIT - BRANCH       5,169.58
4471-1018510-19NSF FEE                  -22.16
4471-1018510-18CHECK 1038            -1,681.84
4471-1018510-16INTEREST CREDIT        8,574.27
4471-1018510-15PAYROLL DEPOSIT        8,086.95
4471-1018510-11NSF FEE                   -3.28
4471-1018510-07WIRE TRANSFER          1,374.69
4471-1018510-03MONTHLY FEE              -21.61
4471-1018510-02DEPOSIT                9,594.55
4471-1022211-01WIRE TRANSFER         -4,021.16
4471-1022210-28NSF FEE                   -7.58
4471-1022210-24CASH WITHDRAWAL         -618.20
4471-1022210-23INTEREST CREDIT        7,797.58
4471-1022210-19DEPOSIT                4,242.38
4471-1022210-18DEPOSIT - BRANCH       6,461.31
4471-1022210-15CASH WITHDRAWAL         -676.75
4471-1022210-12NSF FEE                   -2.89
4471-1022210-08DEPOSIT - BRANCH       3,871.08
4471-1022210-05DEPOSIT - BRANCH       6,891.44
4471-1025910-31INTEREST CREDIT        1,434.31
4471-1025910-30SERVICE CHARGE           -21.49
4471-1025910-26CHECK 1039            -1,469.87
4471-1025910-23SAVINGS TRANSFER       1,058.17
4471-1025910-20MONTHLY FEE              -18.78
4471-1025910-19CHECK 1040              -823.95
4471-1025910-15ATM WITHDRAWAL        -1,816.29
4471-1025910-12DEPOSIT - BRANCH       1,835.02
4471-1025910-09NSF FEE                  -12.93
4471-1025910-07MONTHLY FEE              -31.51
4471-1025910-04SAVINGS TRANSFER        -227.81
4471-1025910-02CHECK 1047              -877.44
4471-1029611-06CHECK 1056            -1,457.11
4471-1029611-04DEPOSIT                8,883.09
4471-1029611-03DEPOSIT - BRANCH       7,927.48
4471-1029610-31DEPOSIT                2,627.45
4471-1029610-28ATM WITHDRAWAL        -1,109.22
4471-1029610-27CHECK 1058            -1,304.66
4471-1029610-26ATM WITHDRAWAL        -1,366.66
4471-1029610-24NSF FEE                  -20.24
4471-1029610-23DEPOSIT - BRANCH       1,475.77
4471-1033311-06DEPOSIT - BRANCH       5,175.37
4471-1033311-04CASH WITHDRAWAL         -285.38
4471-1033310-31OVERDRAFT FEE             -4.41
4471-1033310-28DEPOSIT - BRANCH         812.76
4471-1033310-26CHECK 1059            -2,117.02
4471-1033310-24PAYROLL DEPOSIT        7,954.17
4471-1033310-23DEPOSIT                  325.74
4471-1033310-22PAYROLL DEPOSIT        7,627.61
4471-1033310-20NSF FEE                  -23.48
4471-1033310-19MONTHLY FEE               -2.84
4471-1033310-17OVERDRAFT FEE            -29.09
4471-1037011-06SERVICE CHARGE           -33.69
4471-1037011-02DEPOSIT                2,421.37
4471-1037011-01SAVINGS TRANSFER         287.58
4471-1037010-28DEPOSIT - BRANCH       9,735.56
4471-1037010-25CASH WITHDRAWAL         -319.59
4471-1037010-24TRANSFER               1,222.05
4471-1037010-22TRANSFER                -685.84
4471-1037010-18PAYROLL DEPOSIT        3,575.89
4471-1040710-31ATM WITHDRAWAL          -695.55
4471-1040710-27NSF FEE                   -3.34
4471-1040710-26TRANSFER                -796.23
4471-1040710-23OVERDRAFT FEE            -20.86
4471-1040710-22SERVICE CHARGE           -11.48
